feature,rss,gcv,nb_subset,timestep
YOM002_wl,0.02,0.02,0.03,16
DNP004_wl,0.02,0.01,0.06,16
TB0007_humid,0.01,0.01,0.03,16
THA001_wl,0.01,0.01,0.03,16
Dam_KiewLom_Useable_WaterVol,0.01,0.01,0.03,16
PAS005_wl,0.01,0.01,0.03,16
THA002_wl,0.01,0.01,0.03,16
DNP018_press,0.01,0.01,0.03,16
DNP055_humid,0.01,0.01,0.03,16
VLGE36_rain,0.01,0.01,0.09,16
DIV006_wl,0.01,0.00,0.03,16
BKK001_wl,0.00,0.00,0.03,16
VLGE15_press,0.00,0.00,0.06,16
CHM002_wl,0.00,0.00,0.03,16
DNP015_humid,0.00,0.00,0.03,16
WAN003_wl,0.00,0.00,0.03,16
CHM004_wl,0.00,0.00,0.03,16
VLGE04_press,0.00,0.00,0.03,16
DNP001_temp,0.00,0.00,0.03,16
CHM006_wl,0.42,0.42,0.02,17
VLGE15_press,0.42,0.42,0.11,17
DNP055_temp,0.04,0.04,0.02,17
CPY001_wl,0.03,0.03,0.05,17
NAN014_wl,0.02,0.02,0.08,17
PIN004_wl,0.01,0.01,0.02,17
CPY011_rain,0.01,0.01,0.07,17
KWN001_wl,0.01,0.01,0.02,17
YOM007_wl,0.01,0.01,0.02,17
Dam_BH_Useable_WaterVol,0.01,0.01,0.02,17
CPY016_wl,0.01,0.01,0.05,17
Dam_SK_Useable_WaterVol,0.01,0.01,0.02,17
CPY008_wl,0.00,0.00,0.02,17
DNP022_wl,0.00,0.00,0.02,17
NAN006_wl,0.00,0.00,0.02,17
THA002_wl,0.00,0.00,0.02,17
VLGE13_wl,0.00,0.00,0.02,17
YOM012_wl,0.00,0.00,0.02,17
VLGE36_rain,0.00,0.00,0.05,17
DIV001_wl,0.00,0.00,0.02,17
DNP026_temp,0.00,0.00,0.02,17
YOM008_wl,0.00,0.00,0.02,17
WAN001_wl,0.00,0.00,0.02,17
BKK018_wl,0.00,0.00,0.02,17
NAN013_wl,0.00,0.00,0.02,17
CHM006_wl,0.54,0.55,0.03,18
VLGE36_rain,0.21,0.21,0.15,18
WAN003_wl,0.07,0.08,0.03,18
NAN014_wl,0.05,0.05,0.05,18
YOM006_wl,0.02,0.02,0.05,18
BKK001_rain,0.02,0.02,0.08,18
DNP006_wl,0.02,0.02,0.03,18
NAN009_wl,0.01,0.01,0.03,18
DNP027_temp,0.01,0.01,0.03,18
DIV003_wl,0.01,0.01,0.03,18
PAS003_wl,0.00,0.00,0.05,18
PAS009_wl,0.00,0.00,0.03,18
VLGE13_wl,0.00,0.00,0.03,18
Dam_KiewLom_Useable_WaterVol,0.00,0.00,0.03,18
THA002_wl,0.00,0.00,0.03,18
VLGE15_rain,0.00,0.00,0.03,18
TB0004_wl,0.00,0.00,0.03,18
DNP022_wl,0.00,0.00,0.03,18
DNP019_humid,0.00,0.00,0.03,18
DNP026_humid,0.00,0.00,0.03,18
VLGE12_press,0.00,0.00,0.03,18
TB0005_press,0.00,0.00,0.03,18
VLGE25_temp,0.00,0.00,0.03,18
WAN002_wl,0.00,0.00,0.03,18
BKK018_wl,0.00,0.00,0.03,18
CHM002_wl,0.56,0.56,0.05,19
